"","word","n","question"
"1","that’s",10,"Question 4"
"2","yeah",10,"Question 4"
"3","expenses",8,"Question 4"
"4","movies",8,"Question 4"
"5","entertainment",7,"Question 4"
"6","lot",7,"Question 4"
"7","don’t",5,"Question 4"
"8","travel",4,"Question 4"
"9","i’m",3,"Question 4"
"10","inment",3,"Question 4"
"11","it’s",3,"Question 4"
"12","love",3,"Question 4"
"13","money",3,"Question 4"
"14","question",3,"Question 4"
"15","stuff",3,"Question 4"
"16","there’s",3,"Question 4"
"17","300",2,"Question 4"
"18","400",2,"Question 4"
"19","alcohol",2,"Question 4"
"20","buy",2,"Question 4"
"21","clubs",2,"Question 4"
"22","depends",2,"Question 4"
"23","disney",2,"Question 4"
"24","drinks",2,"Question 4"
"25","expensive",2,"Question 4"
"26","food",2,"Question 4"
"27","game",2,"Question 4"
"28","guess",2,"Question 4"
"29","max",2,"Question 4"
"30","months",2,"Question 4"
"31","pretty",2,"Question 4"
"32","soup",2,"Question 4"
"33","spend",2,"Question 4"
"34","strip",2,"Question 4"
"35","super",2,"Question 4"
"36","ticket",2,"Question 4"
"37","100",1,"Question 4"
"38","30",1,"Question 4"
"39","4500",1,"Question 4"
"40","50",1,"Question 4"
"41","700",1,"Question 4"
"42","absolute",1,"Question 4"
"43","accident",1,"Question 4"
"44","amazon",1,"Question 4"
"45","bar",1,"Question 4"
"46","basketball",1,"Question 4"
"47","beer",1,"Question 4"
"48","beers",1,"Question 4"
"49","bicycles",1,"Question 4"
"50","boatload",1,"Question 4"
"51","born",1,"Question 4"
"52","bowl",1,"Question 4"
"53","box",1,"Question 4"
"54","brexit",1,"Question 4"
"55","bucks",1,"Question 4"
"56","build",1,"Question 4"
"57","buying",1,"Question 4"
"58","cards",1,"Question 4"
"59","casino",1,"Question 4"
"60","cd",1,"Question 4"
"61","clinic",1,"Question 4"
"62","clothes",1,"Question 4"
"63","cool",1,"Question 4"
"64","couple",1,"Question 4"
"65","depending",1,"Question 4"
"66","dinner",1,"Question 4"
"67","dinners",1,"Question 4"
"68","doctor",1,"Question 4"
"69","dog",1,"Question 4"
"70","drugs",1,"Question 4"
"71","eat",1,"Question 4"
"72","eating",1,"Question 4"
"73","education",1,"Question 4"
"74","ee",1,"Question 4"
"75","eling",1,"Question 4"
"76","entertaining",1,"Question 4"
"77","erase",1,"Question 4"
"78","final",1,"Question 4"
"79","financial",1,"Question 4"
"80","gees",1,"Question 4"
"81","gonna",1,"Question 4"
"82","gym",1,"Question 4"
"83","instance",1,"Question 4"
"84","internet",1,"Question 4"
"85","investment",1,"Question 4"
"86","involves",1,"Question 4"
"87","lifeguard",1,"Question 4"
"88","lighthouse",1,"Question 4"
"89","lights",1,"Question 4"
"90","ly",1,"Question 4"
"91","main",1,"Question 4"
"92","membership",1,"Question 4"
"93","month",1,"Question 4"
"94","movie",1,"Question 4"
"95","music",1,"Question 4"
"96","netflix",1,"Question 4"
"97","ng",1,"Question 4"
"98","night",1,"Question 4"
"99","ou",1,"Question 4"
"100","park",1,"Question 4"
"101","parties",1,"Question 4"
"102","party",1,"Question 4"
"103","paying",1,"Question 4"
"104","people",1,"Question 4"
"105","powerful",1,"Question 4"
"106","ramana",1,"Question 4"
"107","ramen",1,"Question 4"
"108","rent",1,"Question 4"
"109","rest",1,"Question 4"
"110","riding",1,"Question 4"
"111","river",1,"Question 4"
"112","rve",1,"Question 4"
"113","san",1,"Question 4"
"114","season",1,"Question 4"
"115","series",1,"Question 4"
"116","sites",1,"Question 4"
"117","sober",1,"Question 4"
"118","specific",1,"Question 4"
"119","spending",1,"Question 4"
"120","streaming",1,"Question 4"
"121","summertime",1,"Question 4"
"122","surprisingly",1,"Question 4"
"123","tal",1,"Question 4"
"124","tease",1,"Question 4"
"125","time",1,"Question 4"
"126","useless",1,"Question 4"
"127","vantage",1,"Question 4"
"128","visits",1,"Question 4"
"129","watch",1,"Question 4"
"130","week",1,"Question 4"
"131","winter",1,"Question 4"
"132","wow",1,"Question 4"
